,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Average_Odds,Average_Probs,Max_Odds,Max_Implied_Prob,Consensus_Minus_Alpha,Signal,Payout_if_Win,Expected_Value
0,0,"Wed Jan 23, 2019",Toronto,0,85%,+185,+201,+205,+199,+200,+200,+200,+190,+190,+199,+200,+200,+205,+198,+200,+200,+200,+195,-,-,+180,+199,+199,+200,+185,+200,+204,-,+190,197.56,0.33620373167305073,205,0.3278688524590164,0.28620373167305074,0,2.05,-0.12707861839719525
1,0,"Wed Jan 23, 2019",Indiana,0,15%,-200,-225,-225,-240,-240,-240,-235,-230,-230,-240,-240,-235,-225,-234,-240,-240,-240,-245,-,-,-215,-240,-240,-235,-225,-240,-218,-,-230,-233.88,0.7003256543239677,-215,0.6825396825396826,0.6503256543239676,0,0.46511627906976744,-0.04719729715325677
2,1,"Wed Jan 23, 2019",Cleveland,0,47%,+1500,+1141,+1200,+1175,+1025,-,+1120,+900,+1125,+1175,+1025,+1050,+1200,+1127,-,-,-,-,-,-,+1200,+1175,+1175,+1120,-,-,+1350,-,+1100,1132.388888888889,0.08162081778478279,1350,0.06896551724137931,0.03162081778478279,0,13.5,-0.5414981421206495
3,1,"Wed Jan 23, 2019",Boston,0,53%,-3000,-1680,-1500,-2500,-1600,-,-1670,-1818,-2050,-2500,-1600,-1700,-1500,-2128,-,-,-,-,-,-,-2345,-2500,-2500,-1670,-,-,-1400,-,-1800,-1914.5,0.9486136939110938,-1400,0.9333333333333333,0.8986136939110938,0,0.07142857142857142,-0.03719961366668521
4,2,"Wed Jan 23, 2019",Orlando,0,50%,+1500,+193,+195,+192,+190,+195,+200,+185,+190,+192,+190,+195,+195,+190,+193,+193,+193,+190,-,-,+185,+192,+192,+200,+200,+195,+206,-,+190,193.24,0.34109933080294824,206,0.32679738562091504,0.29109933080294825,0,2.06,-0.10923604774297835
5,2,"Wed Jan 23, 2019",Brooklyn,0,50%,-2000,-216,-215,-230,-220,-235,-235,-225,-230,-230,-220,-225,-215,-224,-233,-233,-233,-235,-,-,-225,-230,-230,-235,-240,-235,-214,-,-230,-227.72,0.6947078301334908,-214,0.6815286624203821,0.6447078301334908,0,0.4672897196261682,-0.054026828682635086
6,3,"Wed Jan 23, 2019",Houston,0,64%,-310,-325,-310,-320,-330,-340,-340,-330,-330,-320,-330,-325,-310,-342,-329,-329,-329,-330,-,-,-325,-320,-320,-340,-320,-340,-315,-,-330,-327.16,0.7657955173447941,-310,0.7560975609756099,0.7157955173447941,0,0.3225806451612903,-0.05330270286656269
7,3,"Wed Jan 23, 2019",New York,0,36%,+255,+285,+280,+260,+275,+270,+270,+270,+270,+260,+275,+265,+280,+281,+269,+269,+269,+265,-,-,+265,+260,+260,+270,+260,+270,+298,-,+265,270.44,0.2701008762842431,298,0.25125628140703515,0.22010087628424313,0,2.98,-0.1239985123887124
8,4,"Wed Jan 23, 2019",L.A. Clippers,0,7%,+200,+186,+177,+172,+182,+170,+180,+180,+170,+172,+182,+170,+177,+183,+175,+175,+175,+175,-,-,+170,+172,+172,+180,+170,+170,+192,-,+170,175.88,0.3626347746480382,192,0.3424657534246575,0.31263477464803824,0,1.92,-0.08710645802772832
9,4,"Wed Jan 23, 2019",Miami,0,93%,-220,-208,-192,-205,-212,-200,-210,-220,-200,-205,-212,-200,-192,-216,-210,-210,-210,-210,-,-,-200,-205,-205,-210,-200,-200,-206,-,-200,-205.52,0.6725328732595653,-192,0.6575342465753424,0.6225328732595653,0,0.5208333333333334,-0.05323125525107775
10,5,"Wed Jan 23, 2019",San Antonio,0,45%,+155,+138,+145,+144,+135,+145,+145,+140,+145,+144,+135,+140,+145,+135,+143,+143,+143,+140,-,-,+140,+144,+140,+145,+135,+145,+140,-,+140,141.36,0.4144072539426705,145,0.4081632653061224,0.3644072539426705,0,1.45,-0.1072022278404573
11,5,"Wed Jan 23, 2019",Philadelphia,0,55%,-165,-153,-155,-165,-155,-165,-165,-160,-165,-165,-155,-160,-155,-158,-163,-163,-163,-165,-,-,-165,-165,-160,-165,-155,-165,-147,-,-160,-160.48,0.6159509086276084,-147,0.5951417004048584,0.5659509086276083,0,0.6802721088435374,-0.049048473258372416
12,6,"Wed Jan 23, 2019",Detroit,0,92%,+160,+159,+160,+140,+155,+160,+150,+160,+155,+140,+155,+155,+160,+156,+155,+155,+155,+150,-,-,+155,+140,+155,+150,+150,+160,+161,-,+155,153.84,0.39418050796321585,161,0.38314176245210724,0.34418050796321586,0,1.61,-0.10168887421600659
13,6,"Wed Jan 23, 2019",New Orleans,0,8%,-185,-177,-170,-160,-175,-180,-170,-180,-175,-160,-175,-175,-170,-183,-175,-175,-175,-180,-,-,-185,-160,-180,-170,-170,-180,-165,-,-175,-173.6,0.6342757358065613,-160,0.6153846153846154,0.5842757358065612,0,0.625,-0.050551929314337996
14,7,"Wed Jan 23, 2019",Atlanta,0,63%,+125,+110,+115,+110,+106,+105,+105,+105,+110,+110,+106,+110,+115,+108,+110,-,-,+110,-,-,+110,+110,+110,+105,+110,+105,+115,-,+110,109.1304347826087,0.4782739982137356,115,0.46511627906976744,0.42827399821373563,0,1.15,-0.07921090384046847
15,7,"Wed Jan 23, 2019",Chicago,0,37%,-145,-121,-125,-130,-126,-125,-125,-125,-130,-130,-126,-130,-125,-124,-130,-,-,-130,-,-,-130,-130,-130,-125,-130,-125,-120,-,-130,-127.04347826086956,0.5594722490116302,-120,0.5454545454545454,0.5094722490116301,0,0.8333333333333334,-0.06596754347867806
16,8,"Wed Jan 23, 2019",Charlotte,0,91%,-102,-107,-117,-120,-117,-125,-120,-120,-125,-120,-117,-123,-117,-110,-120,-,-,-120,-,-,-125,-120,-120,-120,-125,-125,-106,-,-120,-119.08695652173913,0.5432980699941514,-106,0.5145631067961165,0.49329806999415143,0,0.9433962264150944,-0.0413263922755171
17,8,"Wed Jan 23, 2019",Memphis,0,9%,-118,-103,+107,+100,-103,+105,+100,+100,+105,+100,-103,+103,+107,-105,+100,-,-,+100,-,-,+105,+100,+100,+100,+105,+105,+105,-,+100,66.65217391304348,0.49652114305418615,107,0.48309178743961345,0.44652114305418616,0,1.07,-0.07570123387783456
18,9,"Wed Jan 23, 2019",Denver,0,62%,+130,+143,+145,+135,+140,+135,+135,+140,+145,+135,+140,+140,+145,+140,+143,+143,+143,+130,-,-,+130,+135,+135,+135,+145,+135,+149,-,+140,139.24,0.41816682233787866,149,0.4016064257028112,0.3681668223378787,0,1.49,-0.0832646123786821
19,9,"Wed Jan 23, 2019",Utah,0,38%,-150,-158,-155,-155,-160,-155,-155,-160,-165,-155,-160,-160,-155,-163,-163,-163,-163,-150,-,-,-160,-155,-155,-155,-165,-155,-152,-,-160,-158.08,0.6124274896058367,-150,0.6,0.5624274896058367,0,0.6666666666666666,-0.0626208506569389
20,10,"Wed Jan 23, 2019",Golden State,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
