,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Average_Odds,Average_Probs,Max_Odds,Max_Implied_Prob,Consensus_Minus_Alpha,Signal,Payout_if_Win,Expected_Value
0,0,"Tue Jan 22, 2019",Sacramento,0,36%,+450,+478,+450,+447,+445,+425,+450,-,+430,+447,+445,+425,+450,+449,+445,+450,+450,+445,-,-,+465,+447,+447,+450,+450,+425,+490,-,+425,445.4117647058824,0.1833776628961031,450,0.18181818181818182,0.1333776628961031,0,4.5,-0.26642285407143296
1,0,"Tue Jan 22, 2019",Toronto,0,64%,-675,-573,-525,-600,-550,-650,-600,-,-550,-600,-550,-550,-525,-585,-595,-600,-600,-595,-,-,-625,-600,-600,-600,-600,-650,-560,-,-550,-584.4117647058823,0.853742985985496,-550,0.8461538461538461,0.803742985985496,0,0.18181818181818182,-0.050121925653504734
2,1,"Tue Jan 22, 2019",Portland,0,60%,+180,+185,+185,+184,+180,+185,+185,+190,+175,+184,+180,+180,+185,+182,+180,+180,+180,+180,-,-,+180,+184,+184,+185,+200,+185,+196,-,+175,182.66666666666666,0.3537957661776724,185,0.3508771929824561,0.3037957661776724,0,1.85,-0.13418206639363361
3,1,"Tue Jan 22, 2019",Oklahoma City,0,40%,-220,-207,-200,-220,-210,-225,-215,-230,-210,-220,-210,-210,-200,-215,-220,-220,-220,-220,-,-,-215,-220,-220,-215,-240,-225,-204,-,-210,-216.38888888888889,0.6838646220366651,-210,0.6774193548387097,0.633864622036665,0,0.47619047619047616,-0.06429508175539922
4,2,"Tue Jan 22, 2019",L.A. Clippers,0,63%,+165,+138,+145,+140,+140,+150,+145,+140,+135,+140,+140,+140,+145,+135,+143,+143,+143,+140,-,-,+140,+140,+140,+145,+150,+150,+142,-,+135,141.72222222222223,0.4137283760900885,145,0.4081632653061224,0.3637283760900885,0,1.45,-0.10886547857928319
5,2,"Tue Jan 22, 2019",Dallas,0,37%,-205,-153,-155,-160,-160,-170,-165,-160,-155,-160,-160,-160,-155,-158,-163,-163,-163,-165,-,-,-165,-160,-160,-165,-170,-170,-151,-,-155,-160.94444444444446,0.6167248847472989,-155,0.607843137254902,0.5667248847472989,0,0.6451612903225806,-0.06764615735121798
6,3,"Tue Jan 22, 2019",Minnesota,0,40%,-240,-193,-192,-210,-190,-200,-200,-200,-200,-210,-190,-200,-192,-200,-200,-200,-200,-200,-,-,-205,-210,-210,-200,-220,-200,-187,-,-200,-200.5,0.6671502787242086,-192,0.6575342465753424,0.6171502787242086,0,0.5208333333333334,-0.06141728444026612
7,3,"Tue Jan 22, 2019",Phoenix,0,60%,+200,+173,+177,+176,+165,+170,+170,+170,+170,+176,+165,+170,+177,+170,+170,+170,+170,+170,-,-,+170,+176,+176,+170,+180,+170,+179,-,+170,171.72222222222223,0.36806116708103137,177,0.36101083032490977,0.3180611670810314,0,1.77,-0.11897056718554311
8,4,"Tue Jan 22, 2019",L.A. Clippers,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
9,4,"Tue Jan 22, 2019",Miami,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
10,5,"Tue Jan 22, 2019",Atlanta,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
11,5,"Tue Jan 22, 2019",Chicago,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0,0.0,-0.05,0,0.0,-1.05
