,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Breakeven_Odds_Net_Comm_Short,Kelly_Short_2ticks,Kelly_Short_5ticks
0,0,"Mon Feb 11, 2019",Washington,0,8%,+145,+202,+200,+195,+200,+195,+195,+190,+190,+195,+200,+200,+200,+163,+193,+193,+193,+190,-,-,+190,+195,+195,+195,+200,+195,+204,-,+190,194.32,0.34,0.32,204,0.3289,0,1,-0.0272,0.0,212.5,3.125,3.1675,0.0091,0.0133,3.0825,0.0097,0.0146
1,0,"Mon Feb 11, 2019",Detroit,0,92%,-165,-226,-220,-235,-240,-235,-230,-230,-230,-235,-240,-230,-220,-191,-233,-233,-233,-235,-,-,-230,-235,-235,-230,-240,-235,-220,-,-230,-230.04,0.6967,0.6767,-191,0.6564,1,0,0.031,0.0591969999999999,-209.2926,1.4778,1.4874,0.0395,0.0751,1.4682,0.02,0.0403
2,1,"Mon Feb 11, 2019",New York,0,65%,-102,+115,+110,+105,+107,+100,+105,+105,+100,+105,+107,+105,+110,+106,+110,+110,+110,+105,-,-,+105,+105,+105,+105,+105,+100,+110,-,+105,106.2,0.4851,0.46509999999999996,115,0.4651,0,1,-0.0,0.0,115.01,2.1501,2.1731,0.0168,0.0278,2.1271,0.0181,0.0315
3,1,"Mon Feb 11, 2019",Cleveland,0,35%,-118,-127,-120,-125,-127,-120,-125,-125,-120,-125,-127,-125,-120,-122,-130,-130,-130,-125,-,-,-125,-125,-125,-125,-125,-120,-124,-,-125,-124.68,0.5548,0.5347999999999999,-120,0.5455,0,1,-0.0195,0.0,-114.9557,1.8699,1.8873,0.0221,0.0385,1.8525,0.02,0.036
4,2,"Mon Feb 11, 2019",Charlotte,0,41%,+180,+189,+190,+188,+185,+180,+185,+185,+190,+188,+185,+190,+190,+187,+185,+185,+185,+185,-,-,+180,+188,+188,+185,+180,+180,+198,-,+180,186.04,0.3497,0.3297,198,0.3356,0,1,-0.0175,0.0,203.31,3.0331,3.0738,0.0096,0.0141,2.9924,0.0101,0.0154
5,2,"Mon Feb 11, 2019",Indiana,0,59%,-220,-211,-210,-225,-215,-220,-220,-225,-230,-225,-215,-220,-210,-220,-225,-225,-225,-225,-,-,-220,-225,-225,-220,-220,-220,-208,-,-220,-220.16,0.6876,0.6676,-208,0.6753,0,1,-0.0114,0.0,-200.8435,1.4979,1.5079,0.0379,0.0718,1.4879,0.02,0.0401
6,3,"Mon Feb 11, 2019",Brooklyn,0,55%,+425,+456,+450,+447,+455,+410,+455,+440,+450,+462,+455,+425,+450,+439,+445,-,-,+445,-,-,+475,+447,+462,+455,+450,+410,+470,-,+425,446.8696,0.183,0.163,475,0.1739,0,1,-0.0627,0.0,513.5,6.135,6.2377,0.0038,0.0047,6.0323,0.004,0.005
7,3,"Mon Feb 11, 2019",Toronto,0,45%,-550,-543,-525,-600,-560,-620,-605,-600,-600,-625,-560,-550,-525,-568,-595,-,-,-595,-,-,-685,-600,-625,-605,-600,-620,-530,-,-550,-586.3478,0.8539,0.8339,-525,0.84,0,1,-0.0073,0.0,-502.008,1.1992,1.2032,0.0897,0.1779,1.1952,0.02,0.045
8,4,"Mon Feb 11, 2019",Portland,0,51%,+240,+201,+200,+192,+200,+200,+205,+190,+225,+192,+200,+200,+200,+231,+200,+200,+200,+195,-,-,+190,+192,+192,+205,+200,+200,+204,-,+200,200.56,0.333,0.313,231,0.3021,1,0,0.036,0.0155974025974026,219.49,3.1949,3.2388,0.0089,0.0128,3.151,0.0094,0.014
9,4,"Mon Feb 11, 2019",Oklahoma City,0,49%,-280,-225,-220,-230,-240,-240,-245,-230,-270,-230,-240,-230,-220,-277,-240,-240,-240,-245,-,-,-230,-230,-230,-245,-240,-240,-222,-,-240,-237.56,0.7033,0.6833,-220,0.6875,0,1,-0.0061,0.0,-215.7497,1.4635,1.4727999999999999,0.0406,0.0775,1.4542,0.02,0.0405
