,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds_Gross,Breakeven_Odds_Net_Comm
0,0,"Sat Jan 26, 2019",San Antonio,0,60%,-105,-185,-190,-200,-180,-210,-190,-190,-180,-200,-180,-200,-190,-154,-196,-196,-196,-195,-,-,-200,-200,-175,-190,-200,-210,-175,-,-200,-191.28,0.656063664074532,0.616063664074532,-154,0.6062992125984252,1,0,0.6493506493506493,-1,1,-0.6493506493506493,0.016105004382669597,-0.016105004382669597,-160.45984878965083,-157.31357724475572
1,0,"Sat Jan 26, 2019",New Orleans,0,40%,-125,+166,+175,+170,+160,+175,+165,+165,+160,+170,+160,+170,+175,+116,+166,+166,+166,+165,-,-,+170,+170,+151,+165,+170,+175,+168,-,+170,165.16,0.3779472491027102,0.33794724910271023,175,0.36363636363636365,0,1,1.75,-1,1,-1.75,-0.07064506496754686,0.07064506496754686,195.90416926165778,199.82225264689095
2,1,"Sat Jan 26, 2019",Indiana,0,51%,-145,-205,-200,-205,-212,-220,-210,-205,-200,-205,-212,-210,-200,-294,-210,-210,-210,-210,-,-,-205,-205,-195,-210,-200,-220,-199,-,-200,-210.08,0.6765916697377201,0.6365916697377201,-195,0.6610169491525423,0,1,0.5128205128205128,-1,1,-0.5128205128205128,-0.03695106373011581,0.03695106373011581,-175.1725584491356,-171.73780240111336
3,1,"Sat Jan 26, 2019",Memphis,0,49%,+125,+184,+185,+172,+182,+180,+180,+175,+170,+172,+182,+180,+185,+209,+175,+175,+175,+175,-,-,+170,+172,+166,+180,+170,+180,+189,-,+170,178.12,0.35987963553457775,0.31987963553457777,209,0.3236245954692557,0,1,2.09,-1,1,-2.09,-0.011571926198154725,0.011571926198154725,212.6175876525606,216.8699394056118
4,2,"Sat Jan 26, 2019",Golden State,0,52%,-135,-165,-157,-165,-165,-175,-165,-165,-175,-170,-165,-162,-157,-159,-169,-169,-169,-185,-,-,-185,-165,-170,-165,-165,-175,-155,-,-165,-167.28,0.6255848994458867,0.5855848994458867,-155,0.607843137254902,0,1,0.6451612903225806,-1,1,-0.6451612903225806,-0.036618391234186476,0.036618391234186476,-141.30394830277723,-138.5332826497816
5,2,"Sat Jan 26, 2019",Boston,0,48%,+115,+149,+147,+144,+145,+155,+145,+145,+155,+148,+145,+142,+147,+119,+149,+149,+149,+155,-,-,+155,+144,+148,+145,+145,+155,+148,-,+145,146.92,0.40533052673737335,0.3653305267373734,155,0.3921568627450981,0,1,1.55,-1,1,-1.55,-0.06840715681969778,0.06840715681969778,173.72473056949713,177.19922518088708
6,3,"Sat Jan 26, 2019",Philadelphia,0,67%,+245,+445,+480,+400,+460,+375,+520,+415,+450,+400,+460,+450,+480,+454,+445,+445,+445,+445,-,-,+390,+400,+447,+520,+450,+375,+480,-,+425,442.24,0.18531826413486965,0.14531826413486965,520,0.16129032258064516,0,1,5.2,-1,1,-5.2,-0.09902676236380825,0.09902676236380825,588.1447462597694,599.9076411849647
7,3,"Sat Jan 26, 2019",Denver,0,33%,-290,-529,-570,-525,-565,-550,-670,-560,-600,-525,-565,-600,-570,-592,-595,-595,-595,-595,-,-,-510,-525,-600,-670,-600,-550,-520,-,-550,-573.04,0.8508905085516938,0.8108905085516938,-510,0.8360655737704918,0,1,0.19607843137254902,-1,1,-0.19607843137254902,-0.030111352516601575,0.030111352516601575,-428.79418814013025,-420.38645896091197
8,4,"Sat Jan 26, 2019",Atlanta,0,45%,+500,+330,+340,+351,+330,+325,+355,+330,+310,+351,+330,+300,+340,+250,+338,+467,+467,+375,-,-,+395,+351,+371,+355,+330,+325,+310,-,+325,346.04,0.22629566039055812,0.18629566039055812,467,0.1763668430335097,1,0,4.67,-1,1,-4.67,0.056296394414464546,-0.056296394414464546,436.7811563101135,445.5167794363158
9,4,"Sat Jan 26, 2019",Portland,0,55%,-700,-381,-380,-450,-400,-450,-445,-420,-400,-450,-400,-400,-380,-357,-413,-642,-642,-500,-,-,-465,-450,-480,-445,-420,-450,-400,-,-425,-441.8,0.8129965848149985,0.7729965848149984,-357,0.7811816192560174,0,1,0.2801120448179272,-1,1,-0.2801120448179272,-0.01047776117519808,0.01047776117519808,-340.52200676585744,-333.84510467240926
